ATTA Team Perf,ATTA Human Perf,ATTA Robot Perf,ATTA Team Total Reward,ATTA Perct Human Tasks,ATTA Perct Robot Tasks,Tsarouchi Team Perf,Tsarouchi Human Perf,Tsarouchi Robot Perf,Tsarouchi Team Total Reward,Tsarouchi Perct Human Tasks,Tsarouchi Perct Robot Tasks
79.80000000000001,93.27731092436974,75.59055118110236,47.8863804395508,23.799999999999997,76.2,83.2,72.62569832402235,89.09657320872275,48.802276598858626,35.8,64.2
71.39999999999999,97.6470588235294,66.02409638554217,32.96073766238359,17.0,83.0,78.4,64.24870466321244,87.29641693811075,33.55398219751422,38.6,61.4
79.60000000000001,93.27731092436974,75.32808398950131,45.07303706652857,23.799999999999997,76.2,78.8,67.58241758241759,85.22012578616352,35.91075744293224,36.4,63.6
78.2,94.52054794520548,71.46892655367232,45.32154770324264,29.2,70.8,79.2,67.90697674418604,87.71929824561403,38.730085264242234,43.0,56.99999999999999
76.4,95.41284403669725,71.0997442455243,41.50208021941476,21.8,78.2,80.80000000000001,65.42553191489363,90.06410256410257,40.76677710792201,37.6,62.4
75.6,97.05882352941177,70.10050251256281,39.26904182486795,20.4,79.60000000000001,81.2,70.49180327868852,87.38170347003155,41.978356651421464,36.6,63.4
76.6,92.98245614035088,71.76165803108809,40.53466735722178,22.8,77.2,78.2,65.59139784946237,85.6687898089172,34.96816299122909,37.2,62.8
76.0,89.7196261682243,72.264631043257,40.332448957147875,21.4,78.60000000000001,78.4,60.32608695652174,88.92405063291139,34.619282499869946,36.8,63.2
79.80000000000001,96.11650485436894,75.56675062972292,45.41981633452992,20.599999999999998,79.4,81.0,63.687150837988824,90.65420560747664,38.8788238446505,35.8,64.2
76.6,94.82758620689656,71.09375,39.33708447383976,23.200000000000003,76.8,79.60000000000001,69.27374301675978,85.35825545171339,37.66288662479635,35.8,64.2
